ec_id	go_id
1.1.1.300	GO:0052650
1.1.1.303	GO:0019152,GO:0052587
1.1.1.304	GO:0019152,GO:0052588
1.1.1.305	GO:0099618
1.1.1.306	GO:0050607
1.1.1.31	GO:0008442
1.1.1.310	GO:0102155
1.1.1.312	GO:0050606
1.1.1.315	GO:0106429
1.1.1.316	GO:0010349
1.1.1.32	GO:0019727
1.1.1.320	GO:0102306
1.1.1.324	GO:0102311
1.1.1.326	GO:0102069
1.1.1.327	GO:0018452
1.1.1.330	GO:0141040
1.1.1.336	GO:0089714
1.1.1.337	GO:0102443
1.1.1.34	GO:0004420
1.1.1.349	GO:0140393
1.1.1.35	GO:0003857
1.1.1.352	GO:0140396
1.1.1.353	GO:0102974,GO:0102975,GO:0102976
1.1.1.36	GO:0018454
1.1.1.361	GO:0103074
1.1.1.365	GO:0102098
1.1.1.366	GO:0102198
1.1.1.37	GO:0030060
1.1.1.371	GO:0102497
1.1.1.373	GO:0061596
1.1.1.376	GO:0044103
1.1.1.38	GO:0004471,GO:0008948
1.1.1.39	GO:0004471
1.1.1.395	GO:0033792
1.1.1.4	GO:0000721
1.1.1.40	GO:0004473,GO:0008948
1.1.1.41	GO:0004449
1.1.1.418	GO:0102191
1.1.1.42	GO:0004450
1.1.1.43	GO:0008114
1.1.1.44	GO:0004616
1.1.1.45	GO:0050104
1.1.1.46	GO:0050022
1.1.1.47	GO:0047936
1.1.1.48	GO:0019151
1.1.1.49	GO:0004345
1.1.1.50	GO:0047042
1.1.1.51	GO:0030283,GO:0035410
1.1.1.52	GO:0047043
1.1.1.53	GO:0047044
1.1.1.54	GO:0047655
1.1.1.55	GO:0050039
1.1.1.56	GO:0050255
1.1.1.57	GO:0008866
1.1.1.58	GO:0009026
1.1.1.59	GO:0047565
1.1.1.6	GO:0008888
1.1.1.60	GO:0008679
1.1.1.61	GO:0047577
1.1.1.62	GO:0004303
1.1.1.64	GO:0047045
1.1.1.65	GO:0050236
1.1.1.66	GO:0050153
1.1.1.67	GO:0050086
1.1.1.69	GO:0008874
1.1.1.7	GO:0050216
1.1.1.71	GO:0018455
1.1.1.72	GO:0047956
1.1.1.73	GO:0004552
1.1.1.75	GO:0019147
1.1.1.76	GO:0047512
1.1.1.77	GO:0008912
1.1.1.78	GO:0019170
1.1.1.79	GO:0030267
1.1.1.8	GO:0047952
1.1.1.80	GO:0050009
1.1.1.81	GO:0016618
1.1.1.82	GO:0046554
1.1.1.83	GO:0046553
1.1.1.84	GO:0047867
1.1.1.85	GO:0003862
1.1.1.86	GO:0004455
1.1.1.87	GO:0047046
1.1.1.88	GO:0140643
1.1.1.9	GO:0046526
1.1.1.90	GO:0018456
1.1.1.91	GO:0047681
1.1.1.92	GO:0047047
1.1.1.93	GO:0009027
1.1.1.94	GO:0047952
1.1.1.95	GO:0004617
1.1.1.96	GO:0047860
1.1.1.97	GO:0047048
1.1.1.98	GO:0047049
1.1.1.99	GO:0047050
1.1.1.n12	GO:0106386
1.1.2.2	GO:0050087
1.1.2.3	GO:0004460
1.1.2.4	GO:0004458
1.1.2.5	GO:0047051
1.1.2.6	GO:0047059
1.1.2.7	GO:0052933
1.1.2.8	GO:0052934
1.1.3.10	GO:0050233
1.1.3.11	GO:0050035
1.1.3.12	GO:0050237
1.1.3.13	GO:0047639
1.1.3.14	GO:0047731
1.1.3.15	GO:0003973
1.1.3.16	GO:0047875
1.1.3.17	GO:0033713
1.1.3.18	GO:0033714
1.1.3.19	GO:0047579
1.1.3.20	GO:0046577
1.1.3.21	GO:0004369
1.1.3.23	GO:0050423
1.1.3.27	GO:0047996
1.1.3.28	GO:0033715
1.1.3.29	GO:0050122
1.1.3.30	GO:0050209
1.1.3.37	GO:0003885
1.1.3.38	GO:0018465
1.1.3.39	GO:0033716
1.1.3.4	GO:0046562
1.1.3.40	GO:0050581
1.1.3.41	GO:0050582
1.1.3.5	GO:0047979
1.1.3.6	GO:0016995
1.1.3.7	GO:0047682
1.1.3.8	GO:0050105
1.1.3.9	GO:0045480
1.1.5.12	GO:0102029
1.1.5.13	GO:0140696
