reaction_id	kegg_orthologs	kegg_ec
R01769	K00106	1.17.3.2
R00776	K01483,K16856	4.3.2.3
R04073		1.14.11.16
R04684		
R10693	K18311	6.3.2.42
R09474	K15406	2.3.1.20
R01581		3.5.1.82
R05731	K05917	1.14.14.154
R11677		1.2.1.97
R12152		4.3.2.10
R11344		1.1.5.11
R06995		
R11708	K21934	2.3.3.19
R08957	K00089,K04119	1.1.1.213
R11409	K21131	4.2.1.168
R13060		
R03015	K00200,K00201,K00202,K00203,K00204,K00205,K11260,K11261	1.2.7.12
R12518	K20144	1.3.1.122
R01800	K00998,K17103	2.7.8.8
R12685		1.4.3.26
R02997		3.1.1.42
R09664		3.1.3.85
R06573	K09755	1.14.13.-
R12323	K05917	1.14.15.36
R10813		2.7.7.6
R11214		4.2.1.162
R12050	K22799	2.5.1.-
R08243	K01519	3.6.1.66
R10342		2.7.7.85
R01625	K00997,K06133	2.7.8.7,2.7.8.-
R10405		
R00880	K00066	1.1.1.132
R05000	K03179,K06125	2.5.1.39
R02971	K00867,K01947,K03525,K09680	2.7.1.33,2.7.1.34
R01207	K01787	5.1.3.8
R12006		5.5.1.33
R11602	K21587	2.5.1.138
R07285		2.7.7.56
R11141	K21428	2.2.1.12
R02063	K10960	1.3.1.83
R03212		1.1.99.26
R02305	K12250	4.2.3.7
R11497	K20436	2.5.1.135
R00392		1.3.8.7,1.3.8.8
R08387	K00678	2.3.1.135
R04667		
R08616		2.4.1.166
R02782	K03335	4.2.1.44
R10288		4.2.1.93
R10947		4.2.1.155
R02077		2.6.1.49
R04514		2.3.1.135
R08058	K10713,K13812	4.2.1.147
R09182		
R11200		2.3.1.249
R00905	K01431,K06016	3.5.1.6
R01140		2.7.1.1
R07144	K17818	1.1.1.287
R02700	K14265	2.6.1.27
R06094		3.2.1.22
R06370		1.1.-.-
R10990	K21354	2.4.1.330
R02533	K00553	2.1.1.28
R12992	K05894	1.3.1.42
R00811	K02810	2.7.1.211
R07182		1.12.99.6
