reaction_id	kegg_orthologs	kegg_ec
R08254		
R12283	K23155	2.5.1.149
R03190		2.4.1.78
R11540	K21104	3.1.1.101
R06854		1.1.-.-
R11954	K22577	2.1.1.347
R11935	K22436	2.1.1.345
R06095	K00716,K03663,K07632,K07633,K07634	2.4.1.65,2.4.1.152,2.4.1.-
R03943		2.1.1.-
R02895		
R07104	K00129	1.2.1.5
R07466		
R02003	K00787,K00795,K00804,K13787,K13789	2.5.1.10
R08378		
R09574	K15804	4.2.3.61
R06910	K14582	1.3.1.29
R05643	K18275	1.2.1.78
R08394		
R01721		2.1.1.7
R07944	K12936	2.3.1.153
R12330		6.3.5.13
R08761	K00488	1.14.15.15
R00272		4.1.1.71
R05531	K14368,K15997	2.4.1.278
R13103		4.2.3.210
R11834		4.2.3.169
R05773	K18383	4.1.2.61
R12279	K23179,K23180	1.14.19.76
R02364		1.6.5.5
R10126	K13774,K13775	1.1.1.-
R01098	K04618	1.1.3.9
R11429	K21210	
R07143	K17818	1.1.1.287
R06127	K03844	2.4.1.131
R01190		2.1.1.129
R06125		2.4.1.36
R09088		
R07194		1.14.13.69
R05323		2.1.1.82
R06525	K04713	1.14.18.5
R05399	K23529	1.6.5.7
R08831		
R03494	K13777,K13778	6.4.1.5
R02681	K11817,K22417	1.2.3.7
R04461		1.11.1.14
R05234	K00001,K00121,K04072,K13953,K13954	1.1.1.1
R08306	K00001,K00121,K13951,K13952,K13953,K13980	1.1.1.1
R07664	K15054	1.1.99.31
R01619		2.7.7.51
R12374		1.14.18.11
R05792		3.1.1.77
R12505	K23975,K23976	2.8.1.16
R13124		2.4.1.391
R07823	K01135	3.1.6.12
R07467		
R03183		1.1.1.20
R10492	K05928	2.1.1.95
R08608		
R11809		1.14.14.49
R06923		4.2.1.-
R06535	K12930	2.4.1.115
R00053		3.1.1.20
R10210	K16880	
R02610		1.3.1.22
R09882		3.6.1.60
R08913	K13074,K19628	1.14.19.69
R12803		2.3.1.191
R11122	K20079	2.4.-.-
R06593	K16021	
R09094		
R02118	K13492	2.4.1.203
R08673	K12154	1.14.14.42
R09987		1.1.1.323
R08926	K00064	1.1.1.122
R08229	K00757	2.4.2.3
R10338		2.5.1.104
R12167	K10226	1.14.19.3
R09744	K10209	1.3.8.2
R03298		6.5.1.9
R07228		1.21.4.4
R09270	K15064	2.1.1.-
R08791	K21580	2.1.1.337
R07250	K12644	2.3.1.159
R08662	K11821	2.8.2.-
R04100		5.3.3.8
R10805	K01019	2.8.2.11
R10762	K18685	4.2.3.145
R07656	K10212	2.3.1.-
R08506		
R03514		2.4.1.148
R09009	K01854,K13379	5.4.99.9,5.4.99.30
R10223	K11991	3.5.4.33
R09030	K01808	5.3.1.6
R06752	K12702	
R10844	K22458	1.13.11.84
R04904	K00157	1.2.3.1
R11656	K21719	1.14.14.70
R01357	K01907	6.2.1.16
R01528	K00033	1.1.1.44,1.1.1.351
R09077	K13367,K17839	1.5.3.17
R02949		5.1.2.4
R00445		1.4.1.15
R07169		1.5.1.31
R04445	K00294,K13821	1.2.1.88
R08040		
R12020		1.14.19.55
R00941	K00289	1.5.1.6
R04833	K00037	1.1.1.50
R00295	K11180,K11181	1.8.99.5
R10862		1.2.1.92
R08391	K07411,K07412,K07420,K07424,K17683,K17689,K17690,K17709	1.14.14.1,1.14.14.-
R12800		4.1.2.63
R00900		1.8.1.9,1.8.1.10
R03973	K00431	1.11.1.8
R04224	K01692,K01782,K01825,K07511,K07514,K07515	4.2.1.17
R10258	K13083	1.14.14.81
R08446		2.1.1.-
R08874	K12915	
R09046		
R10077	K14040	1.14.14.145
R10353	K18387	
R12446	K23892	1.14.14.-
R03303	K00455	1.13.11.15
R08435		
R10118	K00208	1.3.1.10
R09414	K15303	
R01598		6.2.1.15
R02609		1.3.1.3
R12770	K17948	5.1.3.24
R04231	K13038,K21977	6.3.2.5
R09923	K05525,K23810	1.14.14.84
R02034	K00032	1.1.1.43
R06693	K15954	2.1.1.292
R02993	K18611	1.1.99.42
R07323	K06045	4.2.1.129
R13112		4.4.1.43
R08200	K19669	3.11.1.3
R11877		1.1.1.348
R11563		3.5.1.124
R06695	K14628,K14629	
R10006		4.2.3.127
R11459	K21146	1.14.15.22
R02551		3.5.1.58
R12155	K23004	3.1.1.-
R01293	K00141	1.2.1.28,1.2.1.64
R07185	K18054	1.14.11.24
R03587		2.1.1.42
R04850	K00497,K07433	1.14.15.4
R06187	K00709	2.4.1.40
R03517		3.1.6.9
R05540		
R11769		
R01419	K00141	1.2.1.28
R06805		2.4.1.240
R12717		1.14.19.78
R00480	K00928,K12524,K12525,K12526	2.7.2.4
R00643		1.3.3.12
R09642		2.7.8.32
R06110		3.2.1.85
R12795		3.1.1.118
R04096		1.3.8.4
R07049		1.13.11.-
R07625	K09661	2.4.1.-
R08614		3.2.1.25
R00533	K00387	1.8.3.1
R00280		1.7.2.1
R00717	K00015,K00018,K15893	1.1.1.26,1.1.1.29
R07362		1.13.11.52
R05968	K00718	2.4.1.69
R07984	K15358	3.5.2.18
R05912	K00727,K09662,K09663	2.4.1.102
R00352	K01648,K15230,K15231	2.3.3.8
R07769	K03801	2.3.1.181
R01050		2.7.1.18
R01070	K01622,K01623,K01624,K11645,K16305,K16306	4.1.2.13
R02009	K12467,K21925	4.2.3.15
R12986	K01805	5.3.1.5
R10765	K18479	5.3.1.31
R03781		3.7.1.7
R09562	K05906	1.8.3.5,1.8.3.6
R01542	K00065	1.1.1.125,1.1.1.127
R11292	K20592	2.1.1.-
R06268	K04034	1.21.98.3
R01676	K01487	3.5.4.3
R09235		1.7.1.-
R00307	K01805	5.3.1.5
R12840	K25491	2.3.1.-
R06321		
R01869	K02823,K17828	1.3.1.14
R09070	K13606	1.1.1.294
R09497	K00370,K00371,K00374	1.7.5.1
R09697	K15894,K24336	4.2.1.115
R09652	K02293	1.3.5.5
R01696		1.1.99.12
R04184		3.2.1.52
R01184	K00469	1.13.99.1
R08659	K11818	1.14.-.-
R12332	K03383	3.5.2.15
R07506	K09831	1.14.19.41
R08640	K15742	2.3.3.17
R11370	K21191	6.2.1.-
R08801		
R00025	K00459	1.13.12.16
R06831	K03268,K16268,K18089,K18090	1.14.12.26
R04354	K00699	2.4.1.17
R01547	K00939,K18532,K18533	2.7.4.3,2.7.4.11
R04817	K00251	1.3.1.3
R06662	K15938,K15939	
R11848	K22945	4.2.3.183
R07045	K07418	1.14.14.1
R07966	K21724	1.14.13.128
R03917		2.5.1.20
R10591	K20546	1.14.14.121
R07606		1.8.4.11,1.8.4.13
R07732		
R07225		1.21.3.6
R12703	K24871	2.1.3.16
R07249		2.3.1.136
R05272	K19630	1.2.1.62
R10675	K08299	4.2.1.149
R11545	K21204	2.1.1.330
R00688	K00270	1.4.1.20
R10992	K00827	2.6.1.44
R10407	K17464,K17465,K17466,K17467	2.7.1.203
R01414	K17722,K17723	1.3.1.1
R12452	K23996	1.14.11.71
R03398	K22252	1.1.1.135,1.1.1.187
R10086	K00284	1.4.7.1
R09710	K15818	5.4.99.34
R09460	K21995	1.14.-.-
R05780		3.5.5.8
R09048		
R06472	K14373	
R11929	K22470	1.8.5.8
R10233	K17212	2.3.1.211
R05114		2.4.99.-
R09448	K15403	1.1.-.-
R00027		4.1.2.38
R00106		1.6.2.4
R05400	K15057	1.7.1.16
R04335		2.4.2.34
R00700	K00436	1.12.1.2,1.12.1.5
R07672	K10046	5.1.3.18
R05602		4.2.1.-
R11132	K20090	1.14.13.224
R01032		
R06223	K00801	2.5.1.21
R06728	K01044	3.1.1.1,3.1.1.84
R07609	K09655	2.4.1.-
R02892		1.3.1.22
R07353		1.3.3.11
R08824	K26038	2.4.1.-
R03021		1.1.1.98
R12624		3.5.1.110
R05581	K07538	1.1.1.368
R03281		1.14.13.66
R06633	K16422	1.1.3.46
R11811	K22365	1.14.14.50
R04954	K00665,K00668,K01716,K02372,K11533,K16363,K22540,K22541	2.3.1.85,2.3.1.86,2.3.1.-,4.2.1.59,4.2.1.-
R11218	K02516,K19737	2.1.1.320
R09384	K00974,K07558	2.7.7.72
R08129		
R05925	K00771	2.4.2.26,2.4.2.63
R09760		2.5.1.95
R01074	K01942,K01947,K03524	6.2.1.11,6.3.4.9,6.3.4.10,6.3.4.11,6.3.4.15
R00177	K00789	2.5.1.6
R01192	K18819	2.4.1.123
R07761	K10258	1.3.1.93
R09857	K16039	2.4.1.-
R05360	K22717	3.7.1.-
R12686		1.4.3.26
R11439	K05304,K21279	2.5.1.132
R07858	K09879	1.3.99.39
R00699	K01593,K22427	4.1.1.28,4.1.1.53
R02673		1.1.3.19
R07941		
R08188		3.1.2.-
R11456		1.14.14.33
R08938	K03823	2.3.1.183
R10175	K16870	2.4.1.289
R07580		
R03218		1.14.11.7
R04258	K03381	1.13.11.1
R04315	K00527	1.17.4.2
R04658	K02527	2.4.99.12
R01290	K01697,K10150	4.2.1.22
R05220	K00798,K19221	2.5.1.17
R09525		4.2.3.65
R01268	K01440,K08281	3.5.1.19
R10291	K17193	2.4.2.51
R00081	K02274,K02275,K02276	1.7.2.1,7.1.1.9
R05978	K00743	2.4.1.87
R01652		1.1.1.85
R08329		
R03149		2.7.7.28
R06270	K04034	1.21.98.3
R07634	K17950	4.4.1.25
R07388	K01122,K22387	3.1.4.39
R05580		2.4.3.1
R08026		
R04376	K05713	1.13.11.16
R03887	K15067	3.5.99.5
R05134	K01222,K01223	3.2.1.86
R08980	K00044,K10251,K13368,K13369,K13370,K13373	1.1.1.62
R00957		2.4.1.139
R05349	K14601	1.1.1.256
R00639		1.1.99.20
R11506		4.2.1.169
R08328		
R09512	K15751,K15752,K15753	1.14.12.22
R11886		7.1.1.7
R04431		2.4.1.179
R10542		1.14.11.44
R13149	K26481	
R03125		1.14.14.81
R04099		1.1.1.230
R09803	K15787	2.4.1.-
R04543	K00059,K00665,K00667,K11533,K11539	1.1.1.100,1.1.1.-,2.3.1.85,2.3.1.86,2.3.1.-
R08958	K00212,K05295	1.1.1.149
R08136	K10720	1.14.-.-
R03416	K06128,K14621,K14676	3.1.1.5
R12745		2.4.1.383
R01248	K00286	1.5.1.2
R08842		
R03566	K03380	1.14.13.7
R11703	K13668	2.4.1.346
R03779		2.3.1.137
R07622	K00744,K09661	2.4.1.-
R07220		
R10209	K00773	2.4.2.29
R11873	K12424	6.2.1.50
R05069	K00053	1.1.1.86,5.4.99.3
R04025	K00274	1.4.3.4
R06219		1.1.99.13
R12874	K25669	2.4.1.-
R09672	K15719	3.2.1.169
R07276	K15849	2.6.1.79
R06345	K04125	1.14.11.13
R09467	K15405	
R11947		1.13.11.18
R00848	K00111,K00112,K00113	1.1.5.3
R04808		
R10796	K20420	1.14.15.31
R00087	K01513,K04765	3.6.1.8,3.6.1.9
R07542		
R06071	K06617	2.4.1.82
R11243	K20424	1.1.1.-
R13165	K26493,K26494,K26495	
R01370	K13574,K18606,K23109	1.1.1.110,1.1.1.237
R03031	K14534	5.3.3.3
R12088	K22845	2.4.1.357
R09939		2.1.1.243
R07639	K01716,K18474	5.3.3.14
R09502		1.8.7.2
R02852	K01844,K18011	5.4.3.3
R06325	K12918	
R12456		4.2.3.204
R12934	K01935,K19562	6.3.3.3
R05538		
R02804	K00376	1.7.2.4
R12489		4.2.1.175
R09673	K15719	3.2.1.169
R08421		
R01411	K01485,K03365	3.5.4.1
R03663	K01868	6.1.1.3
R04267		2.7.4.13
R06236		2.7.1.208
R00013	K01608	4.1.1.47
R08588	K11784	1.21.98.1
R13137	K26318	1.3.2.4
R03923		2.8.1.4
R03065		2.3.1.28
R08465		2.1.1.-
R01281	K00654	2.3.1.50
R11815		1.14.19.52
R10764	K02431	5.1.3.29
R00685	K01593,K22433	4.1.1.28,4.1.1.105
R06486	K14375	2.4.1.-
R06494	K14375	2.4.1.-
R11034		4.2.1.159
R08716		
R08052	K10760	2.5.1.112
R01216		2.1.2.11,4.1.2.12
R04951	K01255,K01256,K01270,K07751,K11140,K11142,K15428	3.4.11.1,3.4.11.2,3.4.11.23,3.4.13.-
R03224		4.2.1.17
R11480		
R04996	K00129	1.2.1.5
R09243		1.7.1.-
R09410	K01253	3.3.2.9
R06481	K14371,K24567,K24568,K24569	
R12955	K06966	3.2.2.10
R09265	K05554	4.2.1.-
R10988	K21354	2.4.1.330
R09982	K09021	
R01771	K00872,K02203,K02204	2.7.1.39
R04578		
R10896		4.2.3.148
R07372	K00489,K07430	1.14.14.23,1.14.14.29
R07939	K07409,K21723	1.14.13.179,1.14.14.1
R08605		2.5.1.-
R08369		2.4.1.118
R04939	K00599	2.1.1.-
R10859	K03526	1.17.7.3
R00702	K00801,K10208	2.5.1.21,2.5.1.96,2.5.1.103
R00303	K01084	3.1.3.9,3.1.3.58
R01526	K00853,K00875,K22935,K24707	2.7.1.16,2.7.1.47
R01251	K00286	1.5.1.2
R02461	K17898,K17899	5.4.3.5
R04134	K05921	5.3.3.-
R04037	K01496,K11755,K14152	3.5.4.19
R11679	K00143	1.2.1.95
R09846	K15889	3.1.1.-
R12110		1.3.1.115
R05665	K05549,K05550,K05784	1.14.12.-
R01891		2.7.8.3
R10003		6.2.1.38
R09099	K00600	2.1.2.1
R09548	K15800	1.14.14.95
R08013	K13078	2.4.1.-
R04633	K12309	3.2.1.23
R12699	K07094	2.5.1.-
R11747		1.14.99.56
R11249	K20439	
R06568	K00660,K08243	2.3.1.170
R09754		2.4.1.273
R06610	K13082	1.1.1.234
R03696	K04835	4.3.1.2
R09045		
R06203		3.2.1.37
R00233	K01578	4.1.1.9
R03370	K03921,K03922	1.14.19.2
R05483		
R04801	K06443	5.5.1.19
R10411		1.1.99.35
R02068	K04120,K20657	5.5.1.13
R11913		1.2.99.10
R11651		1.14.14.43
R00586	K00640,K19726,K23304	2.3.1.30
R00614	K17067,K17068	1.2.98.1
R04320		3.2.1.67
R07459	K03148,K11996,K21029,K21147	2.7.7.73,2.7.7.80
R12368		1.14.18.10
R10915		1.11.1.19
R09129	K00153	1.1.1.306
R08432	K25583	2.3.1.-
R04490		3.1.1.54
R02485	K01489	3.5.4.5
R01660	K11809	2.7.1.106
R05853		
R01195		1.18.1.2
R07935	K12405	4.2.1.119
R03439		1.14.99.2
R03056		2.3.1.59
R12760	K24310	1.1.1.426
R06495	K14375	2.4.1.-
R10330	K17363	1.3.99.33
R10719	K08318	1.1.1.373
R11056		1.14.13.209
R01072	K00764	2.4.2.14
R07534	K09845	1.3.99.27
R11010		1.14.19.29
R12889		
R05880	K21026	3.1.1.80
R08642	K21360	1.1.1.-
R10521		1.13.11.76
R00010	K01194,K22934	3.2.1.28
R08710	K15858	1.1.1.-
R01337		1.2.1.23
R02814	K10782	3.1.2.14
R12058		1.14.14.76
R06085	K00718	2.4.1.69
R04367		4.3.3.1
R05394		5.5.1.-
R09282	K09709	4.2.1.153
R00892		1.8.1.6
R10222		1.1.1.345
R11392	K21228	6.2.1.-
R05366	K18092	3.7.1.-
R07733		
R00964	K00876	2.7.1.48,2.7.1.213
R03469	K00889,K13712	2.7.1.68
R04913		2.6.1.-
R11328		4.3.1.31
R03277	K01630	4.1.2.20
R02213	K00513	1.14.14.16
R07842		
R12585		1.14.18.12
R06592	K16020	
R04147	K04127	5.1.1.17
R08841	K12640	1.14.14.180
R09643		3.1.2.29
R01566	K08688	3.5.3.3
R08600		3.1.1.53
R08613		3.2.1.25
R09677		2.4.1.255
R10532	K18102	4.2.1.146
R05837	K00097	1.1.1.262
R08898	K13554	2.4.2.49
R06771	K12712	2.1.1.285
R12438	K21294	1.-.-.-
R06049		2.4.1.21
R05635		3.5.1.88
R10012	K16182	1.4.1.-
R05719		1.13.11.47
R07923	K12939	2.4.1.238
R13066	K26176	
R08484		
R00462	K01582	4.1.1.18
R08857		2.4.1.-
R12414	K23647	2.1.1.-
R04235		2.7.4.19
R11854		4.2.3.188
R08016		1.7.1.-
R10876	K24529	2.4.1.-
R02007	K15098	5.5.1.8
R12165		1.14.20.14
R10837	K18931	2.4.2.57
R07410	K06989	1.4.1.21
R01231	K01951	6.3.5.2
R00903	K25316,K25317	5.1.1.10
R03504	K01633,K09739,K13939,K13940	4.1.2.25
R12989	K00106	1.17.3.2
R09799	K20932,K20933,K20934	1.7.2.7
R04121	K14338	1.14.14.1
R09343	K15928	
R04448	K00878,K14154	2.7.1.50
R12130		1.14.14.95
R08850		3.4.17.8
R06204		3.2.1.39
R12599	K24109	6.3.2.-
R04711	K00591	2.1.1.114
R05183		1.3.99.19
R01476	K16190	2.7.1.43
R12024	K11206	3.5.1.128
R04046		1.7.1.12
R07175		1.8.1.14
R06488	K14375	2.4.1.-
R07450	K09590,K12640,K25959	1.14.14.179
R10076		1.14.14.56
R11685	K22091	2.1.1.-
R09731	K21273	2.5.1.88
R05251		
R12285	K20616	2.5.1.150
R05113		2.4.3.8
R10429		1.1.1.359
R02210		1.14.13.54
R12039	K22311	2.3.1.265
R10952	K01116,K05857,K05858,K05859,K05860,K05861,K19006	3.1.4.11
R11716	K22130	4.1.1.104
R08830	K15775	2.4.1.-
R03435	K01116,K05857,K05858,K05859,K05860,K05861,K19006	3.1.4.11
R12248	K23149	3.1.1.104
R05225	K02232	6.3.5.10
R03666		
R04598		1.13.11.29
R07288	K01020,K04743	2.8.2.17
R08851	K12645	1.14.15.39
R07786	K12637,K12638	1.14.14.147
R13048	K07809	2.8.2.30
R02106	K00365,K16838	1.7.3.3
R02378		4.2.1.50
R05476		
R08815	K00487	1.14.14.91
R04640	K01814,K24017	5.3.1.16
R07867		4.2.1.121
R04303		1.7.1.11
R09810		1.13.11.61
R04529	K15910,K24302	2.6.1.34
R05126	K14976	1.14.11.31
R08084		1.1.1.183
R04293		
R06249		4.2.2.6
R00959	K01835,K15778,K15779	5.4.2.2,5.4.2.5
R06670	K15929	2.4.1.-
R12741		2.4.1.379
R09494		1.17.5.3
R11608	K12424	6.2.1.50
R11538	K21059	6.2.1.51
R06582	K09754	1.14.14.96
R05739		1.14.15.7
R05744		6.2.1.34
R09473	K18029,K18030	1.17.2.1
R02978	K04708	1.1.1.102
R08994		
R09619	K15796	4.2.3.59
R10695	K18286,K20810	3.5.4.40
R09721		3.5.1.104
R12929		2.1.1.381
R07835		
R00483	K01914	6.3.1.1,6.3.5.4
R09227	K18251,K18252,K18253,K18254	1.14.12.-
R12984		2.4.1.387
R06490	K14375	2.4.1.-
R07552		
R07105	K00001,K00121,K13951,K13952,K13953,K13980	1.1.1.1
R10749		
R06960	K06444	5.5.1.18
R08141		1.1.1.-
R05941	K00715	2.4.1.62
R05368	K01563	3.8.1.5
R11005		1.14.19.18
R02488	K00252	1.3.8.6
R01147		
R01677	K01239	3.2.2.1
R06375		
R12676		1.14.99.69
R08846		4.3.1.22
R12755	K09001	2.7.1.170
R06439	K13307	2.1.1.235
R05284	K01563	3.8.1.5
R12329	K01071,K10781,K10782	3.1.2.14,3.1.2.21
R03984	K00310	1.5.4.1
R10028	K13401,K14984	1.14.14.38,1.14.14.39
R05452	K14747	6.2.1.-
R09716		1.3.99.31
R08271	K17689	1.14.14.-
R08692	K19290,K19291	2.4.1.33
R10082		1.14.20.7
R02225	K04343,K12570	2.7.1.72
R03604		3.2.1.126
R02652		5.1.3.8
R02802		1.18.6.1
R08763		1.10.3.4
R01126	K01081,K02566,K03787,K08693,K11751,K18550,K19970,K20881	3.1.3.5,3.1.3.99,3.1.3.-
R12931		2.3.1.305
R09753		2.4.1.272
R03790		1.1.1.379
R11940		2.5.1.142
R12998		4.6.1.26
R06865	K06126	1.14.13.-
R02300	K00605	2.1.2.10
R07957	K21722	1.14.13.178
R10833	K16443	2.4.1.322
R06310	K12925	2.3.1.166
R00400		2.6.1.12
R10540	K20545	1.14.14.120
R04084	K13382	4.2.1.78
R09612		2.1.1.169,2.1.1.175
R07469		
R02351	K07434	1.14.14.14
R11576		
R05110		2.4.1.62
R02729		2.1.2.4
R02868		2.7.1.1
R00808		1.1.99.13
R08717	K12311,K12312	3.2.1.24
R08404		2.7.1.61
R08431		
R10806	K02493,K07320	2.1.1.297,2.1.1.298
R03777	K00232,K00249,K00255,K06445	1.3.3.6,1.3.8.7,1.3.8.8,1.3.99.-
R04937		3.2.1.-
R04473		2.3.1.141
R12243	K23079	2.4.1.359
R05162		2.1.1.128
R03333		3.1.4.43
R03009	K04124	1.14.11.15
R05338	K08093,K13812,K13831	4.1.2.43
R10346		3.2.1.185
R00625		1.1.1.2,1.1.1.71
R06678		
R03616		3.2.1.-
R08064		
R08960	K00089,K04119	1.1.1.213
R07921		2.1.1.160
R10962		2.1.1.302
R05625	K25936,K25937,K25938	2.7.1.238
R05689		1.1.1.268
R00798	K00360,K00370,K00371,K00372,K00374,K02567,K02568	1.7.99.-
R07092	K00799,K04097,K13299,K23790	2.5.1.18
R00476	K00104,K11472,K11473	1.1.99.14
R03679		2.4.1.205
R06902	K14586	
R02575		2.7.3.1
R03993		3.1.3.49
R06716	K15960	2.4.1.-
R03940	K00604	2.1.2.9
R09218		1.6.-.-
R11114		
R07860	K01058,K06900,K16817,K16818,K22389	3.1.1.32
R02834	K00071	1.1.1.-
R03457	K01089,K01693	4.2.1.19
R08928	K16436	
R11193		2.1.1.317
R03519		2.4.1.152
R11206		2.8.3.23
R03026	K01692,K01715,K01782,K01825,K07511,K07514,K07515,K10527,K13767,K15016	4.2.1.17
R11756		
R07795	K00446,K07104	1.13.11.2
R09255	K14329	2.3.1.64
R01553	K13033,K14577	4.1.2.46,4.1.2.47
R07641		6.3.5.5
R08211	K17755	1.1.3.17
R09824	K20680	2.6.1.90
R03342	K07253	5.3.2.1
R07896	K00232	1.3.3.6
R03360		3.1.1.52
R07116	K00799,K04097,K13299,K23790	2.5.1.18
R12213	K23053	2.1.1.231
R12235		1.2.1.101
R11767		
R10356	K18388,K18392	1.14.13.-
R10691	K18336	3.7.1.26
R05107		
R04018	K01186,K12357,K23550	3.2.1.18
R04638	K08310,K19965	3.6.1.67
R09758	K21371	2.4.1.271
R11458	K21146	1.14.15.22
R04260		5.3.3.4
R12057	K12719,K12720,K21780,K21781	6.2.1.53
R05985	K00736	2.4.1.143
R10078	K14040	1.14.14.145
R01735		1.2.1.23
R05364	K10623	3.7.1.-
R09623	K15794	4.2.3.55
R07950	K00232	1.3.3.6
R02716	K22709	2.4.1.53
R01015	K01803	5.3.1.1
R07344		5.5.1.6
R09584		1.14.14.156
R05938	K00725	2.4.1.92
R01095	K00011	1.1.1.21
R05652	K03851	2.6.1.77
R03507		1.14.15.15
R02726		1.14.15.4
R04252		
R01525	K05352,K21680,K21681	1.1.1.137,1.1.1.405
R10634	K11121,K11411,K11412,K11413,K11414,K11415,K11416,K11417,K12410	2.3.1.286
R10581		3.2.1.189
R03824	K06443,K14605,K14606,K17841,K22502	5.5.1.19
R05639	K00222,K19532	1.3.1.70
R10454	K12705	2.1.1.284
R02987	K16877,K16878,K16879	1.3.99.8
R12466	K22795	2.3.1.288
R08366	K02744,K02745,K02746,K02747	2.7.1.-
R07528	K09844	4.2.1.131
R09561		1.8.1.16
R09579	K12153	1.14.14.40
R08304	K07415,K17689	1.14.14.-
R07059		1.1.1.271
R07565	K09836	1.14.99.64
R06262	K03848	2.4.1.267
R05927	K00734	2.4.1.134
R06215		2.4.99.-
R11327		4.2.3.155
R09106	K15400	2.3.1.188
R03291	K00286	1.5.1.2
R11415	K21257	1.14.-.-
R05057		
R12426	K18821	2.3.1.200
R11657	K21718	1.14.14.122
R12201	K12977	3.1.3.-
R07080	K07408,K07410,K17689,K17719	1.14.14.1,1.14.14.-
R04421		2.1.1.105
R09948		3.5.1.110
R10874	K24531	2.4.1.-
R08808	K13234,K17211	2.3.1.217
R11301	K20597	
R00799		1.7.3.1
R09445		1.7.5.2
R05046	K01495,K09007,K22391	3.5.4.16
R01243		3.1.6.1
R03974	K11992	3.1.2.27
R02178		1.14.13.46
R07330		2.1.1.6
R12295	K19873	2.7.8.-
R04570		1.14.13.241
R00043		1.13.11.43
R05760		
R06417	K15091	1.3.1.82
R05979	K01228	3.2.1.106
R07281	K02858,K14652	4.1.99.12
R03860	K23493	1.3.1.36
R12277	K23179	1.14.19.76
R02820		1.1.1.21
R09508		1.12.1.4
R05339	K08094,K13831	5.3.1.27
R02469	K15089	1.14.14.99
R09778	K05830	2.6.1.118
R01752	K00128,K00149,K14085	1.2.1.3
R00531	K22966	3.6.2.1
R05526	K13327	1.1.1.384
R07207	K07440	1.14.14.25
R12080	K16650	2.4.1.288
R12074		1.14.19.61
R10146	K00385,K16950,K16951	
R06763		
R07526	K09847	1.14.15.9
R02318		5.1.2.6
R03675		4.2.1.62
R08044		1.7.1.-
R11406		2.7.1.214
R01919		2.5.1.44,2.5.1.45
R09256	K14329	2.3.1.-
R07070	K00799,K04097,K13299,K23790	2.5.1.18
R03443	K00145,K12659	1.2.1.38
R11090	K19405	2.7.14.1
R08212	K17755	1.1.3.17
R07209	K07430	1.14.14.29
R05876	K12694	2.3.1.160
R04713		2.1.1.115
R05779		3.6.1.52
R08173		1.14.-.-
R06051		2.4.1.11
R09441	K17709	1.14.14.-
R06150		3.2.1.77,3.2.1.137
R11993		1.14.20.4
R11622	K21604	3.5.1.127
R10663		1.14.13.187
R04559	K01756	4.3.2.2
R05218	K13786	1.16.8.-
R11150	K21683	1.14.13.210
R09446	K15877	1.7.1.14
R12409	K23671	4.5.1.-
R10841	K18981	1.1.1.203
R04506	K00128,K00149,K14085	1.2.1.3
R05631		2.4.1.79
R08611		1.14.11.6
R10369	K18394	
R03244	K03079	5.1.3.22
R01054	K01515,K01517,K08312,K13987,K13988,K18453	3.6.1.13,3.6.1.21,3.6.1.53,3.6.1.-
R09311		
R03172	K00248,K00249,K09478,K11410	1.3.8.1,1.3.8.5,1.3.8.7
R08855		6.3.5.-
R04028		2.6.1.65
R03289		2.8.2.28
R05099	K14519,K19962	1.2.1.4,1.2.1.63
R02064	K12929	4.2.3.8
R10074	K00252	1.3.8.6
R08897	K13553,K20567,K20568	2.6.1.93
R07159	K11389	1.2.7.6
R02680		1.1.1.191
R04616		
R06250		3.1.1.11
R06099		3.2.1.23
R04449	K01910	6.2.1.22
R12876		
R00132	K01672,K01673,K01674	4.2.1.1
R10866	K03737	1.2.7.-
R12925		1.16.3.4
R07192		1.14.13.54
R03249		
R05727	K17689	1.14.14.55
R07230		1.21.99.3
R01447		1.1.99.7
R04319		1.3.1.34
R00005	K01457,K14541	3.5.1.54
R11912	K22434	1.14.99.59
R02126		
R09136	K01061	3.1.1.45
R10707	K00648,K18473	2.3.1.180
R04270		3.2.1.63
R06655		
R11371	K21192	2.1.1.-
R02715	K00107	1.1.3.37
R07879	K12933	2.4.1.297
R03495		1.1.1.238
R05032	K02563	2.4.1.227
R04268		3.5.1.88
R11190		3.4.14.13
R06687	K15954	2.1.1.292
R09746	K10209	1.3.8.2
R03037	K01252	3.3.2.1
R02738	K02777,K02778,K02779,K02791,K20118	2.7.1.199
R11330		5.1.3.38
R08142		1.-.-.-
R13152	K26484	2.4.1.-
R02513		3.5.3.18
R07149		1.1.1.170
R01043		3.1.3.19
R07567	K09836,K23037	1.14.99.63
R00719	K01510,K01529,K14641,K14642	3.6.1.5,3.6.1.73
R09059	K11336	4.2.1.165
R03829		2.4.1.32
R00986	K01656,K01657,K01658,K13497,K13501,K13503	4.1.3.27
R08833		
R08834		
R09016		
R12026	K22699	2.4.2.59
R05683		1.1.1.264,1.1.1.366
R08240	K00088	1.1.1.205
R04332		2.1.1.112
R03778	K00632,K07508,K07509,K07513	2.3.1.16
R05610		
R09034	K13513,K13516,K13519,K13523	2.3.1.-
R13015		1.14.11.79
R12282	K23494	1.14.14.-
R08154	K15825	
R02361	K01728,K01731,K19551,K22539,K22994	4.2.2.2,4.2.2.9
R11129	K20081	
R09279	K14466,K14467,K18861,K25774	6.2.1.40
