pathway_id	pathway_name	pathway_reactions	pathway_kos	pathway_compounds
map05140	Leishmaniasis		K01404,K02580,K02581,K03156,K03175,K03231,K03990,K04011,K04371,K04375,K04379,K04383,K04403,K04404,K04427,K04441,K04447,K04448,K04519,K04687,K04729,K04730,K04733,K04734,K04735,K05132,K05133,K05406,K05425,K05430,K05443,K05697,K05719,K06461,K06463,K06464,K06472,K06483,K06498,K06752,K06856,K08009,K08010,K08011,K08012,K10159,K10160,K11217,K11220,K11987,K13241,K13375,K13376,K13377,K13536,K13537,K16824,K19662,K21421	C00076,C00195,C00219,C00533,C00584,C02737
map04625	C-type lectin receptor signaling pathway		K00922,K01370,K02183,K02580,K02649,K02833,K03156,K04348,K04366,K04371,K04398,K04409,K04440,K04441,K04443,K04446,K04448,K04456,K04466,K04467,K04469,K04513,K04519,K04693,K04734,K04735,K04958,K04959,K04960,K05405,K05406,K05425,K05426,K05429,K05443,K05492,K05704,K05855,K05859,K06068,K06268,K06563,K06643,K07209,K07210,K07211,K07293,K07368,K07369,K07532,K07827,K07828,K07829,K07830,K07831,K07983,K08601,K08862,K09253,K09258,K09444,K10058,K10059,K10070,K10074,K11220,K11221,K11987,K12496,K12497,K12794,K12799,K12800,K14957,K14958,K17332,K17333,K17334,K17514,K21083,K21095,K22517	C00027,C00076,C00159,C00165,C00584,C00965,C01019,C01245,C16844,C21790,C21791
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	R05916,R05916,R05917,R05917,R05918,R05918,R05919,R05919,R05922,R05922,R05923,R05923,R05924,R05924,R06623,R06623,R07129,R07129,R08107,R08107,R12350,R12350,R12351,R12351,R12687,R12687,R12702,R12702,R13390,R13390,R13391,R13391,R13392,R13392,R13393,R13393,R13394,R13394,R13395,R13395,R13396,R13396,R13397,R13397,R13398,R13398,R13399,R13399	K00715,K01127,K03434,K03857,K03858,K03859,K03860,K03861,K05283,K05284,K05285,K05286,K05287,K05288,K05289,K05290,K05291,K05292,K05293,K05294,K05310,K07541,K07542,K08098,K09658,K11001,K11002,K23362,K23552,K23553,K25162,K26235,K27880,K27881,K27886	C00154,C00249,C00346,C00350,C00412,C01194,C21932,C22963,C22964,C22965,C22966,C22967,C22968,C22970,C22971,C22972
map00524	Neomycin, kanamycin and gentamicin biosynthesis	R00299,R00299,R06586,R06586,R06594,R06594,R08617,R08617,R08890,R08890,R08891,R08891,R08892,R08892,R08893,R08893,R08894,R08894,R08895,R08895,R08896,R08896,R08897,R08897,R08898,R08898,R08899,R08899,R08900,R08900,R08901,R08901,R08902,R08902,R08903,R08903,R08904,R08904,R08905,R08905,R08906,R08906,R08907,R08907,R08908,R08908,R08909,R08909,R08910,R08910,R08911,R08911,R10094,R10094,R10096,R10096,R10130,R10130,R10207,R10207,R10312,R10312,R10417,R10417,R10424,R10424,R10425,R10425,R10426,R10426,R10427,R10427,R10767,R10767,R10768,R10768,R11265,R11265,R11266,R11266,R11267,R11267,R11268,R11268,R11269,R11269,R11270,R11270,R11271,R11271,R11272,R11272,R11273,R11273,R11274,R11274,R11275,R11275,R11276,R11276,R11277,R11277,R11278,R11278,R11279,R11279,R11280,R11280,R11281,R11281,R11282,R11282,R11283,R11283,R11284,R11284,R11285,R11285,R11286,R11286,R11287,R11287,R11288,R11288,R11289,R11289,R11290,R11290,R11291,R11291,R11292,R11292,R11293,R11293,R11295,R11295,R11296,R11296,R11297,R11297,R11298,R11298,R11299,R11299,R11300,R11300,R11301,R11301,R11302,R11302,R11303,R11303,R11304,R11304,R13180,R13180	K00844,K00845,K12407,K13546,K13547,K13548,K13549,K13550,K13551,K13552,K13553,K13554,K13555,K13556,K13557,K13559,K13560,K13561,K13562,K13563,K13564,K17078,K20152,K20565,K20566,K20567,K20568,K20569,K20570,K20571,K20572,K20573,K20574,K20575,K20576,K20577,K20578,K20579,K20580,K20581,K20582,K20583,K20584,K20585,K20586,K20587,K20588,K20589,K20590,K20591,K20592,K20593,K20594,K20595,K20596,K20597,K20598,K25026	C00025,C00029,C00031,C00043,C00092,C00229,C00397,C00825,C00832,C00908,C01441,C01555,C01737,C01743,C01759,C01822,C01823,C01917,C02033,C02627,C07656,C12210,C12211,C15652,C17209,C17580,C17581,C17582,C17583,C17584,C17585,C17586,C17587,C17588,C17589,C17701,C17702,C17703,C17704,C17705,C17706,C17707,C17712,C17997,C18000,C18001,C18002,C18003,C18004,C18005,C18006,C18007,C18008,C18009,C20350,C20351,C20353,C20509,C20614,C20699,C21176,C21251,C21252,C21253,C21254,C21255,C21256,C21257,C21258,C21259,C21260,C21261,C21262,C21263,C21264,C21265,C21266,C21267,C21268,C21269,C21270
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	R00734,R00734,R01301,R01301,R01302,R01302,R01304,R01304,R01616,R01616,R01717,R01717,R02253,R02253,R02521,R02521,R02964,R02964,R03337,R03337,R03339,R03339,R03511,R03511,R03816,R03816,R04030,R04030,R04031,R04031,R04985,R04985,R04994,R04994,R05000,R05000,R05144,R05144,R05454,R05454,R05455,R05455,R07236,R07236,R07262,R07262,R07263,R07263,R07500,R07500,R07501,R07501,R07502,R07502,R07503,R07503,R07504,R07504,R07508,R07508,R08165,R08165,R08166,R08166,R08587,R08587,R08588,R08588,R08589,R08589,R08596,R08596,R08766,R08766,R08767,R08767,R08768,R08768,R08769,R08769,R08770,R08770,R08771,R08771,R08772,R08772,R08781,R08781,R08782,R08782,R09039,R09039,R09040,R09040,R09041,R09041,R09042,R09042,R09043,R09043,R09044,R09044,R09045,R09045,R09046,R09046,R09736,R09736,R09737,R09737,R09991,R09991,R09992,R09992,R10491,R10491,R10492,R10492,R10623,R10623,R10624,R10624,R10666,R10666,R10667,R10667,R10668,R10668,R10695,R10695,R10708,R10708,R10709,R10709,R10710,R10710,R10757,R10757,R11061,R11061,R12067,R12067,R12254,R12254,R12255,R12255,R12657,R12657,R12658,R12658,R13408,R13408,R13426,R13426,R13439,R13439,R13440,R13440,R13441,R13441,R13456,R13456	K00355,K00457,K00487,K00568,K00591,K00815,K00838,K01075,K01661,K01851,K01904,K01911,K02361,K02548,K02549,K02551,K02552,K03179,K03181,K03182,K03183,K03184,K03185,K03186,K03809,K05357,K05928,K06125,K06126,K06127,K06134,K08680,K09833,K09834,K10106,K11782,K11783,K11784,K11785,K12073,K12501,K12502,K13565,K14759,K14760,K17872,K18240,K18284,K18285,K18286,K18534,K18586,K18606,K18800,K19222,K19267,K20810,K23094,K23095,K24441,K24843,K24844,K24845,K28034	C00082,C00156,C00223,C00251,C00341,C00353,C00390,C00399,C00423,C00544,C00811,C00828,C00885,C01179,C02059,C02477,C02483,C02730,C02949,C03160,C03313,C03657,C03964,C03993,C04145,C05427,C05807,C05817,C05819,C05847,C05848,C05849,C06986,C10793,C13309,C14151,C14152,C14153,C14154,C14155,C14156,C15547,C15882,C15883,C16519,C16695,C16999,C17010,C17017,C17018,C17412,C17551,C17552,C17554,C17559,C17561,C17562,C17570,C18131,C18132,C18133,C18134,C18135,C19847,C19858,C19859,C20265,C20737,C20738,C20772,C20773,C21084,C21860,C22039
map00650	Butanoate metabolism	R00048,R00048,R00212,R00212,R00215,R00215,R00226,R00226,R00238,R00238,R00261,R00261,R00410,R00410,R00713,R00713,R00714,R00714,R01087,R01087,R01171,R01171,R01172,R01172,R01173,R01173,R01174,R01174,R01175,R01175,R01176,R01176,R01179,R01179,R01196,R01196,R01357,R01357,R01358,R01358,R01359,R01359,R01360,R01360,R01361,R01361,R01366,R01366,R01367,R01367,R01550,R01550,R01644,R01644,R01648,R01648,R01688,R01688,R01975,R01975,R01976,R01976,R01977,R01977,R01978,R01978,R02164,R02164,R02419,R02419,R02855,R02855,R02946,R02946,R02948,R02948,R02949,R02949,R03026,R03026,R03027,R03027,R03028,R03028,R03031,R03031,R03276,R03276,R03534,R03534,R03544,R03544,R03545,R03545,R03707,R03707,R03937,R03937,R04000,R04000,R04254,R04254,R05118,R05118,R05119,R05119,R05120,R05120,R05121,R05121,R05336,R05336,R09078,R09078,R09280,R09280,R09281,R09281,R09738,R09738,R10178,R10178,R10343,R10343,R10504,R10504,R10505,R10505,R10506,R10506,R10702,R10702,R10703,R10703,R10704,R10704,R10705,R10705,R10782,R10782,R11448,R11448,R13137,R13137	K00004,K00019,K00022,K00023,K00043,K00074,K00100,K00109,K00132,K00135,K00139,K00169,K00170,K00171,K00172,K00174,K00175,K00189,K00209,K00233,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00248,K00626,K00634,K00656,K00823,K00929,K01027,K01028,K01029,K01034,K01035,K01039,K01040,K01574,K01575,K01580,K01615,K01640,K01641,K01652,K01653,K01692,K01715,K01782,K01799,K01825,K01896,K01907,K01913,K03366,K03737,K03821,K04072,K04073,K05973,K07246,K07250,K07511,K07514,K07515,K07516,K07518,K08318,K08324,K11258,K13524,K14268,K14534,K16871,K17761,K17829,K17865,K18009,K18118,K18119,K18120,K18121,K18122,K18223,K18224,K18225,K18226,K18366,K18369,K18370,K18371,K18372,K18382,K18859,K18860,K19709,K20509,K21317,K21318,K21319,K21320,K21321,K21322,K22881,K23259,K23351,K23352,K23756,K25995,K25996,K26318	C00022,C00024,C00025,C00026,C00042,C00091,C00122,C00132,C00136,C00164,C00207,C00232,C00246,C00332,C00334,C00356,C00497,C00741,C00810,C00877,C00989,C01089,C01144,C01384,C01412,C01769,C01845,C02331,C02411,C02527,C02630,C03044,C03046,C03058,C03561,C04546,C06010,C06142,C06143,C06144,C06145,C06146,C11062,C17530,C20657,C20783,C21390
map00523	Polyketide sugar unit biosynthesis	R02328,R02328,R02773,R02773,R02776,R02776,R02777,R02777,R05518,R05518,R05526,R05526,R05687,R05687,R06423,R06423,R06424,R06424,R06426,R06426,R06427,R06427,R06433,R06433,R06434,R06434,R06436,R06436,R06437,R06437,R06438,R06438,R06439,R06439,R06443,R06443,R06513,R06513,R06514,R06514,R06631,R06631,R08583,R08583,R08597,R08597,R08927,R08927,R08928,R08928,R08929,R08929,R08930,R08930,R08931,R08931,R08932,R08932,R08933,R08933,R08934,R08934,R08935,R08935,R09821,R09821,R09824,R09824,R09873,R09873,R09904,R09904,R10190,R10190,R10279,R10279,R10459,R10459,R10536,R10536,R10573,R10573,R11020,R11020,R11041,R11041,R11042,R11042,R11045,R11045,R11046,R11046,R11047,R11047,R11051,R11051,R11464,R11464,R11465,R11465,R11466,R11466,R11467,R11467,R11468,R11468,R11469,R11469,R11470,R11470,R11471,R11471,R11472,R11472,R11473,R11473,R11474,R11474,R11475,R11475,R11476,R11476	K00067,K00973,K01710,K01790,K12451,K12710,K13306,K13307,K13308,K13309,K13310,K13311,K13312,K13313,K13315,K13316,K13317,K13318,K13319,K13322,K13326,K13327,K13328,K13329,K13330,K13332,K16435,K16436,K16438,K17625,K17947,K19180,K19652,K19853,K19854,K19855,K19856,K19857,K19858,K19859,K20678,K20679,K20680,K20681,K20682,K21325,K21326,K21327,K21328,K21329,K21330,K21331,K21332,K21333,K21335,K21336,K21337,K23144,K23987	C00103,C00688,C00842,C03187,C03319,C04268,C06017,C06620,C07277,C11447,C11460,C11461,C11907,C11908,C11909,C11910,C11911,C11912,C11915,C11916,C11918,C11919,C11920,C11921,C11922,C11925,C11926,C11927,C11928,C11933,C12318,C12481,C18029,C18030,C18031,C18032,C18033,C18034,C18035,C19947,C19948,C19960,C20156,C20682,C21071,C21073,C21074,C21348,C21349,C21350,C21351,C21352,C21353,C21354,C21355,C21356,C21362,C21363
map00562	Inositol phosphate metabolism	R00705,R00705,R00706,R00706,R01015,R01015,R01183,R01183,R01184,R01184,R01185,R01185,R01186,R01186,R01187,R01187,R01188,R01188,R01189,R01189,R01802,R01802,R02782,R02782,R03330,R03330,R03332,R03332,R03361,R03361,R03362,R03362,R03363,R03363,R03371,R03371,R03372,R03372,R03393,R03393,R03394,R03394,R03427,R03427,R03428,R03428,R03429,R03429,R03430,R03430,R03433,R03433,R03434,R03434,R03435,R03435,R03469,R03469,R03478,R03478,R03479,R03479,R04372,R04372,R04404,R04404,R04504,R04504,R04513,R04513,R04545,R04545,R05202,R05202,R05378,R05378,R05661,R05661,R05795,R05795,R05800,R05800,R05801,R05801,R05802,R05802,R05803,R05803,R07279,R07279,R07299,R07299,R07324,R07324,R08503,R08503,R08603,R08603,R09669,R09669,R09670,R09670,R09827,R09827,R09951,R09951,R09952,R09952,R09953,R09953,R09954,R09954,R10928,R10928,R11680,R11680,R11770,R11770,R11771,R11771,R11772,R11772,R12124,R12124,R13328,R13328	K00010,K00140,K00469,K00888,K00889,K00911,K00913,K00914,K00915,K00920,K00921,K00922,K00923,K00999,K01083,K01092,K01093,K01099,K01106,K01107,K01108,K01109,K01110,K01114,K01116,K01765,K01771,K01803,K01858,K03084,K03103,K03335,K03336,K03337,K03338,K03339,K05857,K05858,K05859,K05860,K05861,K06606,K07281,K07291,K10047,K10572,K13711,K13712,K15422,K15909,K16043,K16044,K16619,K18081,K18082,K18083,K18086,K18649,K19006,K19517,K19786,K19801,K20278,K20279,K21289,K21302,K21797,K21798,K22230,K22231,K22232,K22233,K22913,K23992,K24221,K24222,K27681	C00024,C00092,C00111,C00118,C00137,C00191,C00222,C00558,C00641,C00691,C01177,C01194,C01204,C01220,C01243,C01245,C01272,C01277,C01284,C03546,C03659,C03660,C04006,C04062,C04063,C04287,C04477,C04520,C04549,C04563,C04579,C04637,C05981,C06153,C06892,C06893,C11554,C11555,C11556,C11557,C16737,C19794,C19799,C19891,C20251,C21643,C21644
map00670	One carbon pool by folate	R00177,R00177,R00192,R00192,R00367,R00367,R00611,R00611,R00936,R00936,R00937,R00937,R00939,R00939,R00940,R00940,R00941,R00941,R00943,R00943,R00944,R00944,R00945,R00945,R00946,R00946,R01001,R01001,R01022,R01022,R01025,R01025,R01217,R01217,R01218,R01218,R01220,R01220,R01221,R01221,R01224,R01224,R01225,R01225,R01290,R01290,R01564,R01564,R01565,R01565,R01655,R01655,R01669,R01669,R02101,R02101,R02235,R02235,R02236,R02236,R02287,R02287,R02289,R02289,R02300,R02300,R02301,R02301,R02302,R02302,R02565,R02565,R02566,R02566,R02573,R02573,R02729,R02729,R02821,R02821,R03189,R03189,R04125,R04125,R04325,R04325,R04326,R04326,R04560,R04560,R06613,R06613,R07168,R07168,R07409,R07409,R08211,R08211,R08557,R08557,R11063,R11063	K00108,K00130,K00281,K00282,K00283,K00287,K00288,K00289,K00295,K00297,K00300,K00309,K00314,K00315,K00382,K00499,K00544,K00547,K00548,K00552,K00560,K00600,K00601,K00602,K00603,K00605,K00789,K01251,K01433,K01491,K01492,K01500,K01697,K01746,K01758,K01934,K01938,K02437,K03465,K10150,K11175,K11440,K11787,K13402,K13403,K13938,K13990,K13998,K14085,K17217,K17755,K18589,K18590,K18591,K19643,K19644,K19645,K24042,K25004,K25007,K25008,K25009,K25221,K25915,K26930	C00002,C00019,C00021,C00037,C00065,C00073,C00097,C00101,C00114,C00143,C00155,C00212,C00213,C00234,C00364,C00365,C00415,C00440,C00445,C00504,C00576,C00664,C00719,C01026,C02291,C03479
map00195	Photosynthesis		K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115,K02634,K02635,K02636,K02637,K02638,K02639,K02640,K02641,K02642,K02643,K02689,K02690,K02691,K02692,K02693,K02694,K02695,K02696,K02697,K02698,K02699,K02700,K02701,K02702,K02703,K02704,K02705,K02706,K02707,K02708,K02709,K02710,K02711,K02712,K02713,K02714,K02716,K02717,K02718,K02719,K02720,K02721,K02722,K02723,K02724,K03541,K03542,K03689,K08901,K08902,K08903,K08904,K08905,K08906,K14332	C00001,C00002,C00005,C00006,C00007,C00008,C00009,C00034,C00080,C02061,C16693
