pathway_id	pathway_name	pathway_reactions	pathway_kos	pathway_compounds
map00943	Isoflavonoid biosynthesis	R02445,R02445,R02931,R02931,R02932,R02932,R02954,R02954,R03006,R03006,R03452,R03452,R03962,R03962,R06560,R06560,R06561,R06561,R06562,R06562,R06564,R06564,R06606,R06606,R06607,R06607,R06793,R06793,R06794,R06794,R06795,R06795,R06796,R06796,R07195,R07195,R07196,R07196,R07197,R07197,R07271,R07271,R07272,R07272,R07317,R07317,R07711,R07711,R07712,R07712,R07715,R07715,R07716,R07716,R07717,R07717,R07718,R07718,R07719,R07719,R07720,R07720,R07721,R07721,R07722,R07722,R07723,R07723,R07724,R07724,R07725,R07725,R07726,R07726,R07728,R07728,R07729,R07729,R07731,R07731,R07732,R07732,R07733,R07733,R07735,R07735,R07736,R07736,R07737,R07737,R07738,R07738,R07739,R07739,R07740,R07740,R07741,R07741,R07742,R07742,R07743,R07743,R07744,R07744,R07745,R07745,R07746,R07746,R07747,R07747,R07748,R07748,R07749,R07749,R07750,R07750,R07751,R07751,R07752,R07752,R07753,R07753,R07754,R07754,R07755,R07755,R07756,R07756,R07757,R07757,R07776,R07776,R07777,R07777,R07778,R07778,R09602,R09602,R12277,R12277,R12278,R12278	K05281,K13077,K13257,K13258,K13259,K13260,K13261,K13262,K13263,K13264,K13265,K13266,K13267,K21513,K22932,K23179,K23180,K25075	C00509,C00786,C00814,C00858,C01263,C01477,C01562,C01701,C02495,C02675,C02920,C03567,C04271,C05376,C06563,C07593,C09126,C09762,C10200,C10205,C10208,C10216,C10422,C10502,C10503,C10509,C10516,C10520,C10521,C10522,C10538,C12123,C12125,C12134,C12135,C12625,C12631,C14314,C14536,C15509,C15510,C15511,C15567,C16187,C16188,C16189,C16190,C16191,C16192,C16195,C16197,C16222,C16223,C16224,C16225,C16226,C16227,C16228,C16229,C16230,C16231,C16232,C16233,C19727
map04114	Oocyte meiosis		K02087,K02178,K02183,K02206,K02365,K02537,K02602,K03094,K03347,K03348,K03349,K03350,K03351,K03352,K03353,K03354,K03355,K03357,K03358,K03359,K03362,K03363,K03456,K03868,K04345,K04348,K04367,K04368,K04371,K04373,K04382,K04441,K04515,K04526,K04958,K04959,K04960,K05087,K05459,K05861,K05867,K05868,K06268,K06269,K06626,K06630,K06631,K06633,K06635,K06636,K06669,K06679,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K08556,K08557,K08694,K08836,K10292,K10318,K11481,K11580,K11584,K12456,K13054,K13055,K13056,K13728,K16197,K16198,K21770,K25228,K25229	C00076,C00410,C00575,C01245
map01230	Biosynthesis of amino acids	R00114,R00114,R00149,R00149,R00177,R00177,R00194,R00194,R00200,R00200,R00220,R00220,R00226,R00226,R00239,R00239,R00253,R00253,R00258,R00258,R00259,R00259,R00267,R00267,R00271,R00271,R00344,R00344,R00351,R00351,R00355,R00355,R00397,R00397,R00451,R00451,R00480,R00480,R00483,R00483,R00551,R00551,R00578,R00578,R00582,R00582,R00586,R00586,R00658,R00658,R00669,R00669,R00671,R00671,R00691,R00691,R00694,R00694,R00709,R00709,R00715,R00715,R00732,R00732,R00733,R00733,R00734,R00734,R00751,R00751,R00756,R00756,R00897,R00897,R00945,R00945,R00946,R00946,R00985,R00985,R00986,R00986,R00994,R00994,R00996,R00996,R01001,R01001,R01015,R01015,R01049,R01049,R01056,R01056,R01061,R01061,R01063,R01063,R01067,R01067,R01068,R01068,R01071,R01071,R01073,R01073,R01086,R01086,R01090,R01090,R01158,R01158,R01213,R01213,R01214,R01214,R01248,R01248,R01251,R01251,R01286,R01286,R01290,R01290,R01291,R01291,R01324,R01324,R01373,R01373,R01398,R01398,R01466,R01466,R01512,R01512,R01513,R01513,R01518,R01518,R01529,R01529,R01641,R01641,R01714,R01714,R01715,R01715,R01728,R01728,R01730,R01730,R01731,R01731,R01771,R01771,R01773,R01773,R01775,R01775,R01777,R01777,R01795,R01795,R01826,R01826,R01934,R01934,R01939,R01939,R01954,R01954,R02199,R02199,R02282,R02282,R02283,R02283,R02291,R02291,R02315,R02315,R02412,R02412,R02413,R02413,R02649,R02649,R02722,R02722,R02733,R02733,R02734,R02734,R02735,R02735,R02755,R02755,R03013,R03013,R03083,R03083,R03084,R03084,R03132,R03132,R03243,R03243,R03260,R03260,R03313,R03313,R03314,R03314,R03443,R03443,R03444,R03444,R03457,R03457,R03460,R03460,R03508,R03508,R03509,R03509,R03896,R03896,R03898,R03898,R04035,R04035,R04037,R04037,R04173,R04173,R04198,R04198,R04199,R04199,R04336,R04336,R04364,R04364,R04365,R04365,R04371,R04371,R04405,R04405,R04440,R04440,R04441,R04441,R04467,R04467,R04475,R04475,R04558,R04558,R04640,R04640,R05068,R05068,R05069,R05069,R05070,R05070,R05071,R05071,R05338,R05338,R05339,R05339,R05805,R05805,R06977,R06977,R07159,R07159,R07245,R07245,R07274,R07274,R07276,R07276,R07399,R07399,R07613,R07613,R08575,R08575,R08648,R08648,R09107,R09107,R09720,R09720,R09775,R09775,R09776,R09776,R09777,R09777,R09778,R09778,R09779,R09779,R10052,R10052,R10147,R10147,R10170,R10170,R10305,R10305,R10404,R10404,R10409,R10409,R10929,R10929,R10930,R10930,R10931,R10931,R10932,R10932,R10933,R10933,R11679,R11679	K00003,K00013,K00014,K00030,K00031,K00052,K00053,K00058,K00133,K00134,K00143,K00145,K00147,K00150,K00211,K00215,K00220,K00264,K00265,K00266,K00286,K00290,K00293,K00500,K00548,K00549,K00600,K00611,K00615,K00616,K00618,K00619,K00620,K00640,K00641,K00651,K00674,K00765,K00766,K00789,K00800,K00811,K00812,K00813,K00814,K00817,K00818,K00821,K00826,K00831,K00832,K00836,K00838,K00841,K00850,K00872,K00873,K00891,K00918,K00927,K00928,K00930,K00931,K00948,K01079,K01089,K01243,K01438,K01439,K01476,K01496,K01523,K01586,K01609,K01620,K01622,K01623,K01624,K01626,K01647,K01649,K01652,K01653,K01655,K01656,K01657,K01658,K01659,K01663,K01681,K01682,K01687,K01689,K01693,K01694,K01695,K01696,K01697,K01702,K01703,K01704,K01705,K01713,K01714,K01733,K01735,K01736,K01738,K01739,K01750,K01752,K01754,K01755,K01758,K01760,K01778,K01783,K01803,K01807,K01808,K01814,K01817,K01834,K01850,K01914,K01915,K01940,K01948,K01953,K01958,K01959,K01960,K02203,K02204,K02500,K02501,K02502,K03340,K03785,K03786,K03856,K04092,K04093,K04486,K04516,K04517,K04518,K05359,K05602,K05822,K05823,K05824,K05827,K05828,K05829,K05830,K05831,K05942,K06001,K06208,K06209,K07173,K08093,K08094,K09011,K09065,K09758,K10150,K10206,K10977,K10978,K11067,K11258,K11358,K11389,K11645,K11755,K12339,K12406,K12524,K12525,K12526,K12657,K12659,K13034,K13497,K13498,K13501,K13503,K13810,K13812,K13829,K13830,K13831,K13832,K13853,K14152,K14155,K14170,K14187,K14260,K14267,K14272,K14454,K14455,K14677,K14681,K14682,K15227,K15633,K15634,K15635,K15849,K16305,K16306,K16370,K16792,K16793,K17069,K17216,K17217,K17450,K17462,K17753,K17989,K18649,K19412,K21071,K22305,K22476,K22477,K22478,K22846,K23304,K24017,K24018,K24034,K24042,K25528,K27394,K27802	C00011,C00014,C00019,C00021,C00022,C00025,C00026,C00036,C00037,C00041,C00047,C00049,C00062,C00064,C00065,C00073,C00074,C00077,C00078,C00079,C00082,C00085,C00097,C00108,C00109,C00111,C00117,C00118,C00119,C00123,C00135,C00141,C00148,C00152,C00155,C00158,C00166,C00169,C00183,C00188,C00197,C00199,C00231,C00233,C00236,C00251,C00254,C00263,C00279,C00311,C00322,C00327,C00354,C00407,C00437,C00441,C00449,C00493,C00624,C00631,C00666,C00671,C00680,C00826,C00860,C00944,C00956,C00979,C01005,C01100,C01102,C01118,C01165,C01179,C01250,C01251,C01267,C01269,C01302,C02291,C02504,C02612,C02637,C02739,C02741,C03082,C03175,C03232,C03283,C03287,C03406,C03506,C03539,C03871,C03912,C03972,C04002,C04076,C04133,C04272,C04302,C04390,C04411,C04421,C04462,C04666,C04691,C04896,C04916,C05382,C05539,C05662,C05824,C06006,C06007,C06010,C06019,C06032,C15532,C19886,C19887,C19888,C19889,C20258,C20948,C20949,C20950,C20951
map00941	Flavonoid biosynthesis	R01613,R01613,R01942,R01942,R01945,R01945,R02160,R02160,R02416,R02416,R02442,R02442,R02444,R02444,R02445,R02445,R02446,R02446,R02897,R02897,R03123,R03123,R03124,R03124,R03126,R03126,R03590,R03590,R03636,R03636,R03639,R03639,R03640,R03640,R04276,R04276,R04342,R04342,R04901,R04901,R04902,R04902,R05036,R05036,R05037,R05037,R05038,R05038,R05039,R05039,R05723,R05723,R06532,R06532,R06533,R06533,R06537,R06537,R06538,R06538,R06539,R06539,R06540,R06540,R06541,R06541,R06542,R06542,R06543,R06543,R06551,R06551,R06556,R06556,R06568,R06568,R06582,R06582,R06610,R06610,R06615,R06615,R06820,R06820,R06822,R06822,R07432,R07432,R07433,R07433,R07436,R07436,R07712,R07712,R07987,R07987,R07988,R07988,R07989,R07989,R07990,R07990,R07991,R07991,R07992,R07992,R07993,R07993,R07994,R07994,R07995,R07995,R07996,R07996,R07997,R07997,R07998,R07998,R07999,R07999,R08000,R08000,R08001,R08001,R08002,R08002,R08003,R08003,R08004,R08004,R08006,R08006,R08007,R08007,R08008,R08008,R08009,R08009,R08010,R08010,R08012,R08012,R08013,R08013,R08021,R08021,R08022,R08022,R08026,R08026,R08028,R08028,R08029,R08029,R08031,R08031,R08032,R08032,R08081,R08081,R08082,R08082,R08129,R08129,R08130,R08130,R08815,R08815,R09791,R09791,R10258,R10258,R10260,R10260,R12088,R12088,R12112,R12112,R12117,R12117,R12213,R12213,R12264,R12264,R12277,R12277,R12278,R12278,R12279,R12279	K00475,K00487,K00588,K00660,K01859,K05277,K05278,K05280,K08243,K08695,K09754,K13065,K13077,K13078,K13079,K13080,K13081,K13082,K13083,K21372,K21581,K21582,K22440,K22845,K23053,K23179,K23180	C00223,C00323,C00389,C00406,C00509,C00540,C00774,C00852,C00974,C01378,C01460,C01477,C01514,C01604,C01617,C01709,C02906,C02947,C03648,C05334,C05631,C05903,C05904,C05905,C05906,C05907,C05908,C05909,C05911,C06561,C06562,C08578,C08650,C09099,C09320,C09614,C09727,C09736,C09751,C09756,C09762,C09789,C09806,C09826,C09827,C09833,C10028,C10044,C10107,C10192,C10434,C12123,C12124,C12127,C12128,C12136,C12208,C15525,C16404,C16405,C16406,C16407,C16408,C16409,C16410,C16415,C16416,C16417,C16418,C16419,C16422,C16492,C21913,C22048
map07044	Antiviral agents			
map07051	Antidiabetics			
map03263	Virion - Enterovirus		K00985,K01516,K06539,K25127,K25281,K25293,K25294,K25295,K25296,K25297,K25298,K25299,K25928	
map00981	Insect hormone biosynthesis	R02373,R02373,R02374,R02374,R03264,R03264,R08132,R08132,R08133,R08133,R08134,R08134,R08135,R08135,R08136,R08136,R08137,R08137,R08138,R08138,R08139,R08139,R08140,R08140,R08141,R08141,R08142,R08142,R08143,R08143,R08144,R08144,R08146,R08146,R08147,R08147,R08148,R08148,R08149,R08149,R08150,R08150,R08151,R08151,R08152,R08152,R08153,R08153,R08154,R08154,R08155,R08155,R10925,R10925,R11007,R11007,R11008,R11008,R11381,R11381	K00128,K01063,K10718,K10719,K10720,K10721,K10722,K10723,K10724,K14937,K14938,K14939,K14985,K15824,K15825,K15826,K15890,K21013	C00187,C00448,C00477,C01126,C01164,C02513,C02633,C03461,C09694,C16493,C16494,C16495,C16496,C16497,C16498,C16499,C16500,C16502,C16503,C16504,C16505,C16506,C16507,C16508,C16509
map04921	Oxytocin signaling pathway		K00907,K01242,K02183,K02677,K02833,K03234,K04229,K04345,K04348,K04361,K04366,K04368,K04369,K04371,K04375,K04379,K04446,K04448,K04454,K04463,K04464,K04503,K04513,K04514,K04515,K04534,K04630,K04632,K04634,K04850,K04851,K04853,K04857,K04858,K04859,K04860,K04861,K04862,K04863,K04864,K04865,K04866,K04867,K04868,K04869,K04870,K04871,K04872,K04873,K04958,K04959,K04960,K04961,K04962,K04963,K04977,K04996,K04997,K04998,K04999,K05000,K05002,K05005,K05007,K05243,K05692,K05704,K05858,K05869,K06268,K06269,K06270,K06625,K07198,K07199,K07200,K07359,K07827,K07828,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K08292,K08794,K11987,K12318,K12319,K12323,K12324,K12329,K12334,K12751,K12755,K13242,K16342,K17332,K17333,K17334,K17388,K17457,K17901,K18154,K19662,K19663,K21289,K21290	C00076,C00165,C00219,C00238,C00427,C00533,C00575,C00584,C00639,C00942,C01245,C13050
map04146	Peroxisome		K00031,K00106,K00232,K00272,K00273,K00306,K00308,K00477,K00624,K00649,K00659,K00803,K00830,K00869,K01578,K01640,K01796,K01897,K03426,K03781,K04564,K04565,K05675,K05676,K05677,K05678,K05940,K06664,K07513,K07514,K07753,K08726,K08746,K08764,K10214,K11147,K11187,K11517,K11992,K12261,K12405,K12663,K13237,K13239,K13241,K13273,K13279,K13299,K13335,K13336,K13337,K13338,K13339,K13340,K13341,K13342,K13343,K13344,K13345,K13346,K13347,K13348,K13349,K13350,K13351,K13352,K13353,K13354,K13355,K13356,K15628,K17879,K22587,K25819	
map03060	Protein export		K01551,K01983,K03070,K03071,K03072,K03073,K03074,K03075,K03076,K03100,K03101,K03104,K03105,K03106,K03107,K03108,K03109,K03110,K03116,K03117,K03118,K03210,K03217,K03425,K07342,K09481,K09490,K09540,K09647,K09648,K10956,K12257,K12272,K12275,K12946,K12947,K12948,K13280,K13301,K13431,K16365,K22384,K22386,K23387,K23388,K23390,K27163,K27164,K27165	
map07032	Hypnotics			C07490
map00140	Steroid hormone biosynthesis	R00535,R00535,R00536,R00536,R00537,R00537,R01454,R01454,R01833,R01833,R01835,R01835,R01836,R01836,R01837,R01837,R01838,R01838,R01840,R01840,R01842,R01842,R02207,R02207,R02208,R02208,R02209,R02209,R02211,R02211,R02213,R02213,R02214,R02214,R02215,R02215,R02216,R02216,R02218,R02218,R02219,R02219,R02347,R02347,R02349,R02349,R02350,R02350,R02351,R02351,R02352,R02352,R02353,R02353,R02354,R02354,R02355,R02355,R02356,R02356,R02358,R02358,R02476,R02476,R02477,R02477,R02478,R02478,R02497,R02497,R02498,R02498,R02499,R02499,R02501,R02501,R02502,R02502,R02503,R02503,R02723,R02723,R02725,R02725,R02834,R02834,R02836,R02836,R02838,R02838,R02840,R02840,R02841,R02841,R02843,R02843,R02893,R02893,R03086,R03086,R03087,R03087,R03088,R03088,R03089,R03089,R03090,R03090,R03091,R03091,R03262,R03262,R03263,R03263,R03325,R03325,R03326,R03326,R03327,R03327,R03329,R03329,R03404,R03404,R03405,R03405,R03406,R03406,R03407,R03407,R03408,R03408,R03713,R03713,R03783,R03783,R03784,R03784,R03847,R03847,R03848,R03848,R03849,R03849,R03851,R03851,R03933,R03933,R03980,R03980,R04163,R04163,R04309,R04309,R04310,R04310,R04330,R04330,R04352,R04352,R04353,R04353,R04354,R04354,R04675,R04675,R04676,R04676,R04678,R04678,R04681,R04681,R04682,R04682,R04683,R04683,R04758,R04758,R04759,R04759,R04760,R04760,R04761,R04761,R04762,R04762,R04764,R04764,R04829,R04829,R04830,R04830,R04831,R04831,R04832,R04832,R04833,R04833,R04834,R04834,R04835,R04835,R04836,R04836,R04837,R04837,R04838,R04838,R04840,R04840,R04842,R04842,R04843,R04843,R04844,R04844,R04845,R04845,R04846,R04846,R04847,R04847,R04849,R04849,R04850,R04850,R04852,R04852,R04853,R04853,R04854,R04854,R04855,R04855,R08517,R08517,R08518,R08518,R08941,R08941,R08942,R08942,R08943,R08943,R08945,R08945,R08953,R08953,R08954,R08954,R08955,R08955,R08957,R08957,R08958,R08958,R08959,R08959,R08960,R08960,R08961,R08961,R08963,R08963,R08977,R08977,R08978,R08978,R08980,R08980,R08994,R08994,R08995,R08995,R10242,R10242,R13039,R13039,R13212,R13212,R13213,R13213,R13215,R13215,R13216,R13216,R13217,R13217,R13218,R13218,R13219,R13219,R13220,R13220,R13221,R13221	K00037,K00038,K00044,K00070,K00071,K00089,K00212,K00251,K00489,K00497,K00498,K00512,K00513,K00545,K00699,K01015,K01016,K01131,K04119,K05295,K07408,K07409,K07410,K07412,K07413,K07414,K07415,K07424,K07430,K07433,K07434,K10207,K10251,K12343,K12344,K12345,K13368,K13369,K13370,K13373,K15680,K17689,K17690,K17691,K22970,K25779	C00187,C00280,C00410,C00468,C00523,C00535,C00674,C00735,C00762,C00951,C01124,C01176,C01227,C01780,C01953,C02140,C02373,C02537,C02538,C03205,C03681,C03747,C03772,C03852,C03917,C03935,C04042,C04295,C04373,C04518,C04555,C04676,C05138,C05139,C05140,C05141,C05284,C05285,C05290,C05291,C05293,C05294,C05295,C05296,C05297,C05298,C05299,C05300,C05301,C05302,C05469,C05470,C05471,C05472,C05473,C05474,C05475,C05476,C05477,C05478,C05479,C05480,C05481,C05482,C05483,C05484,C05485,C05487,C05488,C05489,C05490,C05497,C05498,C05499,C05500,C05501,C05502,C05503,C05504,C08357,C08358,C08359,C11131,C11132,C11133,C11134,C11135,C11136,C13712,C13713,C18038,C18039,C18040,C18041,C18042,C18043,C18044,C18045,C18075,C22831,C22832
map01212	Fatty acid metabolism	R00238,R00238,R00742,R00742,R01175,R01175,R01177,R01177,R01274,R01274,R01278,R01278,R01279,R01279,R01280,R01280,R01624,R01624,R01626,R01626,R01706,R01706,R01923,R01923,R01975,R01975,R02222,R02222,R03026,R03026,R03370,R03370,R03776,R03776,R03777,R03777,R03778,R03778,R03814,R03814,R03856,R03856,R03857,R03857,R03858,R03858,R03989,R03989,R03990,R03990,R03991,R03991,R04170,R04170,R04355,R04355,R04428,R04428,R04429,R04429,R04430,R04430,R04533,R04533,R04534,R04534,R04535,R04535,R04536,R04536,R04537,R04537,R04543,R04543,R04544,R04544,R04566,R04566,R04568,R04568,R04724,R04724,R04725,R04725,R04726,R04726,R04737,R04737,R04738,R04738,R04739,R04739,R04740,R04740,R04741,R04741,R04742,R04742,R04743,R04743,R04744,R04744,R04745,R04745,R04746,R04746,R04747,R04747,R04748,R04748,R04749,R04749,R04751,R04751,R04753,R04753,R04754,R04754,R04952,R04952,R04953,R04953,R04954,R04954,R04955,R04955,R04956,R04956,R04957,R04957,R04958,R04958,R04959,R04959,R04960,R04960,R04961,R04961,R04962,R04962,R04963,R04963,R04964,R04964,R04965,R04965,R04966,R04966,R04967,R04967,R04968,R04968,R04969,R04969,R04970,R04970,R06985,R06985,R07758,R07758,R07759,R07759,R07760,R07760,R07761,R07761,R07762,R07762,R07763,R07763,R07764,R07764,R07765,R07765,R07933,R07933,R07934,R07934,R07935,R07935,R07936,R07936,R07937,R07937,R07950,R07950,R07951,R07951,R07952,R07952,R07953,R07953,R10700,R10700,R10707,R10707,R11043,R11043,R11059,R11059,R11060,R11060,R11110,R11110,R11111,R11111,R12048,R12048,R12167,R12167,R12168,R12168,R12169,R12169,R12170,R12170,R12171,R12171,R12205,R12205,R12300,R12300	K00022,K00059,K00208,K00209,K00232,K00248,K00249,K00255,K00507,K00626,K00632,K00645,K00647,K00648,K00665,K00667,K00668,K01074,K01692,K01716,K01782,K01825,K01897,K01961,K01962,K01963,K02160,K02371,K02372,K03921,K03922,K06445,K07508,K07509,K07511,K07512,K07513,K07514,K07515,K07516,K08764,K08765,K08766,K09458,K09478,K09479,K10203,K10205,K10224,K10226,K10244,K10245,K10246,K10247,K10248,K10249,K10250,K10251,K10256,K10258,K10527,K10703,K10780,K10781,K11262,K11263,K11533,K11539,K12405,K13370,K13767,K15013,K16363,K18472,K18473,K18660,K19523,K19524,K22540,K22541,K22769,K22770,K22993,K23006	C00024,C00083,C00136,C00154,C00229,C00249,C00332,C00383,C00412,C00510,C00877,C01144,C01203,C01209,C01832,C01944,C02041,C02050,C02249,C02593,C02990,C03035,C03221,C03595,C03939,C04088,C04246,C04618,C04619,C04620,C04633,C04688,C05223,C05258,C05259,C05260,C05261,C05262,C05263,C05264,C05265,C05266,C05267,C05268,C05269,C05270,C05271,C05272,C05273,C05274,C05275,C05276,C05744,C05745,C05746,C05747,C05748,C05749,C05750,C05751,C05752,C05753,C05754,C05755,C05756,C05757,C05758,C05759,C05760,C05761,C05762,C05763,C05764,C16160,C16161,C16162,C16163,C16164,C16165,C16166,C16167,C16168,C16169,C16170,C16171,C16172,C16173,C16179,C16180,C16216,C16217,C16218,C16219,C16220,C16221,C16374,C16375,C16376,C16387,C16388,C16389,C16528,C16529,C16530,C16531,C16532,C16645,C17279,C21932,C21934,C21935,C21937,C21939,C21941,C21949,C21951,C21953,C21959,C21961,C21963,C21965,C21967
map04152	AMPK signaling pathway		K00021,K00507,K00665,K00693,K00850,K00922,K01084,K01103,K01578,K01596,K01946,K02649,K03234,K03456,K03841,K04135,K04354,K04382,K04427,K04456,K04503,K04526,K04527,K04688,K05031,K05062,K05087,K05424,K05459,K05870,K06259,K06276,K06627,K07187,K07188,K07191,K07197,K07198,K07199,K07200,K07201,K07202,K07203,K07204,K07205,K07206,K07207,K07208,K07292,K07296,K07297,K07298,K07359,K07877,K07881,K07901,K07903,K07905,K08271,K08272,K08292,K08530,K08765,K09047,K09048,K09408,K11262,K11411,K11583,K11584,K13088,K16172,K16184,K16333,K17445,K17446,K17532,K18341,K19028,K19029,K19030,K19523,K19524,K21357,K25893	C00003,C00008,C00020,C00022,C00024,C00031,C00040,C00076,C00083,C00085,C00162,C00354,C00389,C00665,C00668,C00698,C00757,C01172,C04677,C05981,C07151,C09731
map05162	Measles		K00922,K02084,K02089,K02091,K02158,K02159,K02161,K02187,K02206,K02373,K02580,K02581,K02649,K03083,K03097,K03115,K03171,K03174,K03175,K03237,K03247,K03283,K04007,K04379,K04383,K04389,K04390,K04398,K04399,K04404,K04427,K04440,K04448,K04451,K04456,K04467,K04503,K04519,K04570,K04692,K04693,K04726,K04729,K04730,K04733,K04734,K04735,K05068,K05069,K05070,K05130,K05131,K05404,K05405,K05406,K05410,K05411,K05414,K05415,K05425,K05429,K05763,K06450,K06451,K06452,K06470,K06536,K06563,K06624,K06626,K07209,K07210,K07211,K07899,K07900,K08738,K08860,K09447,K10132,K10144,K10148,K10151,K10152,K10159,K10160,K10161,K10784,K10785,K11217,K11218,K11219,K11220,K11221,K11223,K11224,K11859,K12560,K12646,K12647,K12648,K12968,K14021,K14216,K14753,K14754,K16194,K16195,K16196,K19376,K19377,K19378,K19379,K19380,K19381,K22280,K22281,K22517	C05981
map05166	Human T-cell leukemia virus 1 infection		K00787,K00922,K01110,K01397,K02089,K02159,K02180,K02206,K02216,K02330,K02365,K02537,K02580,K02649,K02678,K02833,K03120,K03156,K03158,K03159,K03160,K03348,K03349,K03350,K03351,K03352,K03353,K03354,K03355,K03357,K03358,K03359,K03363,K04345,K04348,K04368,K04369,K04371,K04374,K04375,K04376,K04377,K04378,K04379,K04386,K04387,K04388,K04416,K04421,K04430,K04440,K04446,K04448,K04450,K04451,K04456,K04466,K04467,K04469,K04498,K04500,K04501,K04502,K04503,K04570,K04674,K04685,K04725,K04728,K04734,K04735,K05068,K05069,K05070,K05074,K05151,K05405,K05427,K05429,K05433,K05468,K05718,K05770,K05856,K05862,K05863,K05870,K06062,K06268,K06271,K06450,K06451,K06452,K06454,K06464,K06490,K06618,K06620,K06621,K06622,K06625,K06626,K06627,K06635,K06637,K06640,K06641,K06679,K06724,K06751,K06752,K07209,K07210,K07299,K07827,K07828,K07936,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K08054,K08055,K08057,K08065,K08874,K09047,K09048,K09049,K09063,K09203,K09253,K09341,K09389,K09438,K10151,K10152,K10784,K10785,K11126,K11217,K11218,K11223,K11224,K11304,K12076,K12456,K12496,K13375,K13376,K13377,K14290,K15040,K15041,K15304,K15305,K15306,K15307,K15308,K15309,K16333,K16334,K17332,K17333,K17334,K17454,K19259,K21770,K21857,K21932,K23018,K23068,K23069,K23070,K23071,K23605,K24862,K24863,K25051,K25052,K25053,K25054,K25055,K25056,K25228,K25229	C00027,C00076,C00238,C00575,C05981
map03018	RNA degradation		K00850,K00937,K00962,K00970,K01148,K01689,K03514,K03628,K03654,K03666,K03678,K03679,K03681,K03732,K04043,K04077,K05592,K07573,K08300,K08311,K10643,K11600,K11927,K12571,K12572,K12573,K12574,K12580,K12581,K12584,K12585,K12586,K12587,K12589,K12590,K12591,K12592,K12593,K12594,K12595,K12596,K12597,K12598,K12599,K12600,K12601,K12602,K12603,K12604,K12605,K12606,K12607,K12608,K12609,K12610,K12611,K12612,K12613,K12614,K12615,K12616,K12617,K12618,K12619,K12620,K12621,K12622,K12623,K12624,K12625,K12626,K12627,K13126,K14442,K14443,K16855,K18681,K18682,K22468	
map04750	Inflammatory mediator regulation of TRP channels		K00458,K00922,K01116,K02183,K02582,K02649,K02677,K03176,K03898,K03915,K03916,K04149,K04157,K04234,K04259,K04261,K04269,K04345,K04386,K04432,K04433,K04440,K04441,K04515,K04519,K04632,K04634,K04723,K04828,K04829,K04830,K04831,K04832,K04958,K04959,K04960,K04971,K04972,K04973,K04983,K04984,K05222,K05451,K05459,K05704,K05858,K05859,K06068,K06269,K07413,K07418,K07425,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K16342,K16343,K18050,K18051,K18052,K19662,K19663	C00002,C00076,C00080,C00165,C00219,C00388,C00400,C00469,C00575,C00584,C00780,C00808,C00809,C00903,C01245,C01330,C02165,C04742,C04805,C05965,C05966,C06254,C06866,C07600,C09155,C09179,C09844,C11695,C12083,C12271,C14768,C14769,C19317,C20171,C20698
map00521	Streptomycin biosynthesis	R00299,R00299,R01183,R01183,R01187,R01187,R02225,R02225,R02228,R02228,R02328,R02328,R02777,R02777,R02781,R02781,R03384,R03384,R03477,R03477,R03496,R03496,R03502,R03502,R04222,R04222,R05512,R05512,R05515,R05515,R05516,R05516,R05547,R05547,R06365,R06365,R06513,R06513,R06514,R06514,R07324,R07324,R08639,R08639,R08843,R08843,R08844,R08844	K00010,K00067,K00844,K00845,K00973,K01092,K01710,K01790,K01835,K01858,K04339,K04340,K04341,K04342,K05957,K12407,K12570,K15778,K23144,K23987,K25026	C00031,C00092,C00103,C00137,C00413,C00688,C00691,C00842,C01121,C01138,C01214,C01221,C01283,C01294,C01298,C03319,C03442,C04006,C04280,C04673,C04767,C06592,C11351,C11907
map04916	Melanogenesis		K00182,K00312,K00408,K00444,K00445,K00505,K00506,K00572,K00714,K01064,K01357,K01384,K01558,K01827,K02105,K02183,K02235,K02329,K02353,K02354,K02375,K02376,K02432,K02620,K02677,K02833,K02842,K03083,K03209,K04198,K04199,K04345,K04366,K04368,K04369,K04371,K04490,K04491,K04492,K04498,K04515,K04534,K04630,K04632,K04634,K05091,K05228,K05461,K05858,K05870,K07827,K07828,K08041,K08042,K08043,K08044,K08045,K08046,K08047,K08048,K08049,K08725,K09048,K09455,K16366,K19662,K19663	C00076,C00082,C00165,C00575,C01245,C05606
map04013	MAPK signaling pathway - fly		K02104,K02447,K02678,K03099,K03175,K03211,K04352,K04361,K04364,K04365,K04368,K04371,K04382,K04392,K04404,K04417,K04426,K04427,K04428,K04430,K04431,K04432,K04440,K04441,K04448,K04450,K04461,K04497,K04506,K04508,K04564,K04623,K04662,K05088,K05704,K05759,K06279,K06689,K07293,K07364,K07827,K08545,K08601,K08840,K08892,K09031,K09237,K09260,K10176,K12377,K12378,K12379,K12380,K13411,K13578,K14290,K16197,K16678,K16679,K16690,K16691,K17383,K17512,K17536,K17608,K18529,K20016,K20210,K20211,K20214,K20216,K20220,K20223,K20225,K20226,K20227,K20228,K20229,K20230,K20231,K20232,K20233,K20234,K20235	
